Open,High,Low,Close,Volume,Label
3300.0,3430.0,3260.0,3400.0,52305000.0,-1.0
3360.0,3440.0,3320.0,3380.0,35140000.0,-1.0
3220.0,3260.0,3100.0,3150.0,51070000.0,1.0
3210.0,3320.0,3210.0,3290.0,31755000.0,1.0
3450.0,3460.0,3320.0,3390.0,55720000.0,-1.0
3400.0,3420.0,3250.0,3280.0,37420000.0,-1.0
3180.0,3230.0,3150.0,3220.0,36225000.0,-1.0
3160.0,3210.0,3100.0,3100.0,26795000.0,1.0
3080.0,3170.0,2970.0,3160.0,51620000.0,-1.0
3100.0,3220.0,3080.0,3140.0,37710000.0,1.0
3140.0,3260.0,3140.0,3210.0,44645000.0,1.0
3310.0,3400.0,3270.0,3400.0,45530000.0,1.0
3600.0,3800.0,3570.0,3780.0,100220000.0,-1.0
3650.0,3650.0,3500.0,3520.0,59770000.0,-1.0
3300.0,3350.0,3200.0,3220.0,54300000.0,1.0
3220.0,3290.0,3150.0,3240.0,63315000.0,-1.0
3080.0,3220.0,3040.0,3180.0,96425000.0,-1.0
3220.0,3250.0,3080.0,3100.0,51875000.0,1.0
3160.0,3250.0,3120.0,3240.0,58400000.0,-1.0
3410.0,3430.0,3210.0,3210.0,95890000.0,1.0
3210.0,3260.0,3160.0,3260.0,43020000.0,1.0
3260.0,3390.0,3260.0,3370.0,47575000.0,1.0
3480.0,3630.0,3480.0,3580.0,70575000.0,-1.0
3580.0,3650.0,3500.0,3500.0,73745000.0,1.0
3500.0,3780.0,3500.0,3780.0,84140000.0,-1.0
3620.0,3680.0,3560.0,3620.0,66965000.0,-1.0
3620.0,3640.0,3480.0,3490.0,52960000.0,1.0
3500.0,3590.0,3490.0,3560.0,34350000.0,-1.0
3560.0,3570.0,3510.0,3530.0,25445000.0,-1.0
3420.0,3450.0,3320.0,3340.0,53675000.0,-1.0
3120.0,3300.0,3070.0,3240.0,76625000.0,-1.0
3240.0,3300.0,3130.0,3140.0,63760000.0,-1.0
3140.0,3140.0,3140.0,3140.0,0.0,1.0
3230.0,3240.0,3160.0,3160.0,60430000.0,-1.0
3160.0,3160.0,3160.0,3160.0,0.0,-1.0
3160.0,3160.0,3160.0,3160.0,0.0,-1.0
3160.0,3160.0,3160.0,3160.0,0.0,-1.0
3160.0,3160.0,3160.0,3160.0,0.0,1.0
3160.0,3380.0,3140.0,3350.0,39455000.0,1.0
3230.0,3420.0,3220.0,3370.0,37855000.0,1.0
3790.0,3870.0,3660.0,3780.0,119910000.0,1.0
3760.0,3920.0,3700.0,3900.0,78135000.0,-1.0
3820.0,3910.0,3780.0,3880.0,42295000.0,-1.0
3830.0,3860.0,3710.0,3840.0,46280000.0,-1.0
3780.0,3810.0,3700.0,3710.0,41235000.0,-1.0
3790.0,3790.0,3640.0,3640.0,31410000.0,1.0
3800.0,3890.0,3770.0,3840.0,52900000.0,1.0
3860.0,4020.0,3840.0,3920.0,51460000.0,1.0
3960.0,4200.0,3850.0,4140.0,52065000.0,1.0
4060.0,4240.0,4060.0,4220.0,52570000.0,1.0
4240.0,4530.0,4240.0,4400.0,57685000.0,1.0
4700.0,4700.0,4520.0,4600.0,54245000.0,-1.0
4600.0,4600.0,4470.0,4550.0,42250000.0,-1.0
4550.0,4550.0,4550.0,4550.0,0.0,-1.0
4550.0,4550.0,4550.0,4550.0,0.0,-1.0
4550.0,4550.0,4550.0,4550.0,0.0,-1.0
4450.0,4480.0,3970.0,3980.0,91025000.0,1.0
4000.0,4100.0,3960.0,4020.0,47245000.0,1.0
4100.0,4170.0,4070.0,4110.0,39350000.0,1.0
4090.0,4400.0,4090.0,4400.0,53045000.0,-1.0
4270.0,4420.0,4190.0,4270.0,39730000.0,1.0
4290.0,4390.0,4220.0,4290.0,27330000.0,-1.0
4170.0,4200.0,3990.0,4030.0,47135000.0,-1.0
3980.0,4020.0,3910.0,4010.0,31545000.0,-1.0
3960.0,3990.0,3900.0,3900.0,23130000.0,1.0
3920.0,4060.0,3890.0,4060.0,34685000.0,1.0
