Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,211500.0,217500.0,209500.0,215000.0,215000.0,337290
2021-08-30,217000.0,218000.0,208000.0,209000.0,209000.0,339030
2021-08-31,210000.0,212500.0,204500.0,207500.0,207500.0,1553481
2021-09-01,212000.0,215000.0,207000.0,208500.0,208500.0,472492
2021-09-02,209500.0,211500.0,206000.0,209000.0,209000.0,235702
2021-09-03,208500.0,210000.0,206500.0,209000.0,209000.0,186918
2021-09-06,208000.0,209500.0,207500.0,208000.0,208000.0,138573
2021-09-07,207500.0,212500.0,207500.0,209500.0,209500.0,212665
2021-09-08,213000.0,213000.0,205000.0,206500.0,206500.0,260238
2021-09-09,210500.0,213000.0,206500.0,210000.0,210000.0,438228
2021-09-10,210500.0,225500.0,210000.0,225500.0,225500.0,982443
2021-09-13,225500.0,234500.0,223000.0,233000.0,233000.0,876268
2021-09-14,234000.0,236500.0,225000.0,227500.0,227500.0,435713
2021-09-15,230500.0,235500.0,226500.0,233000.0,233000.0,416822
2021-09-16,234500.0,234500.0,222500.0,223000.0,223000.0,443622
2021-09-17,224500.0,227500.0,218500.0,224500.0,224500.0,272576
2021-09-23,219000.0,223500.0,216500.0,220000.0,220000.0,255554
2021-09-24,222500.0,225500.0,215500.0,217000.0,217000.0,284828
2021-09-27,215000.0,215500.0,207500.0,208500.0,208500.0,461757
2021-09-28,216000.0,218500.0,211500.0,216500.0,216500.0,496409
2021-09-29,210000.0,220000.0,209000.0,217500.0,217500.0,403378
2021-09-30,219000.0,229500.0,216500.0,226000.0,226000.0,550662
2021-10-01,226000.0,231000.0,223500.0,227500.0,227500.0,321238
2021-10-05,223000.0,226000.0,210500.0,212000.0,212000.0,423415
2021-10-06,215000.0,217000.0,199500.0,200000.0,200000.0,539482
2021-10-07,203500.0,206500.0,191000.0,199000.0,199000.0,498543
2021-10-08,202500.0,206000.0,200000.0,202000.0,202000.0,244003
2021-10-12,200500.0,201000.0,195500.0,195500.0,195500.0,209691
2021-10-13,194500.0,202500.0,192500.0,201500.0,201500.0,213428
2021-10-14,203000.0,203500.0,199500.0,200500.0,200500.0,164741
2021-10-15,201500.0,202000.0,192000.0,193500.0,193500.0,457718
2021-10-18,195000.0,195500.0,192000.0,195000.0,195000.0,172502
2021-10-19,195000.0,196500.0,193000.0,193500.0,193500.0,176799
2021-10-20,194000.0,194000.0,178000.0,179000.0,179000.0,827838
2021-10-21,179000.0,183000.0,176500.0,178000.0,178000.0,372658
2021-10-22,178000.0,179000.0,173500.0,177000.0,177000.0,308893
2021-10-25,174000.0,177000.0,172500.0,176500.0,176500.0,186806
2021-10-26,179000.0,181000.0,178000.0,180500.0,180500.0,259738
2021-10-27,181000.0,181000.0,176500.0,178000.0,178000.0,165995
2021-10-28,178000.0,180500.0,176000.0,176000.0,176000.0,147562
2021-10-29,176500.0,177500.0,165500.0,166500.0,166500.0,433924
